,Dist.Measurement
8,1897.4
15,1734.08
22,1686.4
29,1678.63
36,1661.61
43,1583.95
50,1550.16
57,1533.78
64,1534.28
71,1533.11
78,1532.73
85,1532.73
92,1533.38
99,1532.9
106,1526.77
113,1532.55
120,1499.05
127,1498.55
134,1498.55
141,1498.67
148,1521.45
155,1509.11
162,1505.05
169,1507.56
176,1514.63
183,1527.2
190,1533.09
197,1533.09
204,1533.31
211,1530.48
218,1531.8
225,1531.67
232,1529.44
239,1533.03
246,1531.89
253,1532.22
260,1516.08
267,1535.54
274,1535.54
281,1534.68
288,1534.96
295,1534.96
302,1538.38
309,1538.38
316,1539.86
323,1539.86
330,1538.85
337,1505.49
344,1515.84
351,1534.15
358,1531.11
365,1530.56
372,1522.12
379,1531.15
386,1530.81
393,1530.97
400,1530.97
407,1531.7
414,1531.51
421,1532.34
428,1530.17
435,1533.33
442,1533.33
449,1535.19
456,1538.22
463,1536.01
470,1536.01
477,1535.71
484,1531.25
491,1531.4
498,1531.4
505,1530.54
512,1529.02
519,1529.02
526,1532.98
533,1533.51
540,1532.51
547,1533.89
554,1534.51
561,1529.68
568,1534.59
575,1531.61
582,1531.61
589,1531.85
596,1529.21
603,1532.3
610,1532.3
617,1527.67
624,1528.72
631,1514.75
638,1508.36
645,1508.36
652,1490.59
659,1490.59
666,1489.96
673,1489.96
680,1528.95
687,1505.55
694,1502.77
701,1519.05
708,1527.65
715,1531.07
722,1534.31
729,1519.69
736,1530.95
743,1532.57
750,1532.57
757,1532.57
764,1532.14
771,1528.45
778,1531.4
785,1527.79
792,1527.79
799,1524.9
806,1505.89
813,1531.49
820,1531.72
827,1531.57
834,1532.17
841,1532.17
848,1536.13
855,1536.64
862,1534.56
869,1533.88
876,1533.49
883,1529.89
890,1529.89
897,1529.89
904,1527.33
911,1531.01
918,1531.41
925,1532.51
932,1536.97
939,1536.97
946,1536.97
953,1536.97
960,1536.27
967,1535.99
974,1536.42
981,1536.42
988,1536.13
995,1536.13
1002,1535.85
1009,1535.47
1016,1534.61
1023,1534.1
1030,1530.67
1037,1530.9
1044,1531.31
1051,1531.89
1058,1532.24
1065,1535.77
1072,1534.52
1079,1534.08
1086,1530.43
1093,1530.62
1100,1530.62
1107,1530.37
1114,1533.12
1121,1533.12
1128,1533.12
1135,1537.52
1142,1536.61
1149,1536.61
1156,1536.5
1163,1533.58
1170,1533.61
1177,1530.77
1184,1530.54
1191,1530.54
1198,1530.08
1205,1533.31
1212,1533.54
1219,1533.2
1226,1533.63
1233,1531.4
1240,1519.16
1247,1524.94
1254,1529.81
1261,1527.69
1268,1531.66
1275,1532.74
1282,1532.89
1289,1532.44
1296,1530.8
1303,1511.65
1310,1498.57
1317,1494.02
1324,1494.13
1331,1530.33
1338,1530.33
1345,1530.33
1352,1531.37
1359,1531.14
1366,1530.99
1373,1532.41
1380,1532.82
1387,1530.42
1394,1528.45
1401,1531.72
1408,1531.72
1415,1531.0
1422,1535.75
1429,1533.63
1436,1533.49
1443,1533.49
1450,1533.49
1457,1533.45
1464,1533.59
1471,1530.69
1478,1532.44
1485,1532.68
1492,1534.08
1499,1531.93
1506,1531.6
1513,1531.93
1520,1530.29
1527,1528.19
1534,1519.62
1541,1527.95
1548,1531.77
1555,1532.69
1562,1532.44
1569,1532.13
1576,1532.13
1583,1530.5
1590,1532.09
1597,1532.23
1604,1536.99
1611,1534.78
1618,1535.52
1625,1533.04
1632,1532.56
1639,1530.78
1646,1530.07
1653,1527.35
1660,1527.35
1667,1528.9
1674,1532.55
1681,1529.54
1688,1528.94
1695,1529.26
1702,1529.26
1709,1527.87
1716,1531.17
1723,1530.85
1730,1536.72
1737,1534.29
1744,1534.43
1751,1530.15
1758,1530.48
1765,1530.0
1772,1528.2
1779,1498.8
1786,1532.44
1793,1537.02
1800,1534.96
1807,1535.3
1814,1533.38
1821,1533.27
1828,1533.09
1835,1530.32
1842,1512.91
1849,1534.43
1856,1530.22
1863,1530.69
1870,1530.69
1877,1530.45
1884,1527.76
1891,1522.64
1898,1531.0
1905,1535.31
1912,1535.17
1919,1528.72
1926,1528.58
1933,1525.4
1940,1533.0
1947,1529.84
1954,1530.82
1961,1531.06
1968,1530.72
1975,1532.45
1982,1536.66
1989,1536.74
1996,1537.6
2003,1535.57
2010,1535.22
2017,1532.41
2024,1531.91
2031,1515.34
2038,1515.34
2045,1532.05
2052,1532.27
2059,1537.09
2066,1535.82
2073,1535.82
2080,1535.33
2087,1532.65
2094,1532.41
2101,1532.07
2108,1532.07
2115,1510.66
2122,1532.3
2129,1535.1
2136,1533.45
2143,1533.9
2150,1530.03
2157,1531.31
2164,1530.56
2171,1530.56
2178,1534.79
2185,1531.21
2192,1531.21
2199,1530.65
2206,1516.97
2213,1516.97
2220,1518.97
2227,1507.83
2234,1507.83
2241,1496.92
2248,1520.56
2255,1529.08
2262,1530.91
2269,1530.79
2276,1532.28
2283,1532.28
2290,1526.64
2297,1527.32
2304,1504.19
2311,1530.69
2318,1530.82
2325,1529.5
2332,1532.89
2339,1535.08
2346,1530.3
2353,1530.3
2360,1505.62
2367,1505.62
2374,1508.57
2381,1529.6
2388,1533.27
2395,1533.27
2402,1532.65
2409,1535.35
2416,1534.77
2423,1533.41
2430,1530.9
2437,1530.9
2444,1529.82
2451,1529.82
2458,1530.22
2465,1528.94
2472,1528.29
2479,1528.58
2486,1529.85
2493,1529.22
2500,1528.78
2507,1532.65
2514,1533.04
2521,1532.94
2528,1537.06
2535,1533.25
2542,1533.25
2549,1533.25
2556,1526.9
2563,1508.57
2570,1533.25
2577,1533.25
2584,1533.0
2591,1536.77
2598,1533.77
2605,1536.34
2612,1534.03
2619,1533.83
2626,1533.42
2633,1531.27
2640,1531.62
2647,1527.39
2654,1529.47
2661,1530.3
2668,1530.3
2675,1531.06
2682,1531.21
2689,1530.22
2696,1529.37
2703,1529.37
2710,1530.43
2717,1530.87
2724,1523.85
2731,1531.52
2738,1532.12
2745,1532.25
2752,1532.01
2759,1533.32
2766,1533.32
2773,1532.53
2780,1532.95
2787,1504.08
2794,1525.92
2801,1525.23
2808,1533.7
2815,1533.7
2822,1533.03
2829,1536.85
2836,1533.29
