,Dist.Measurement
8,1878.93
15,1736.45
22,1736.45
29,1736.45
36,1634.93
43,1587.71
50,1583.03
57,1593.08
64,1561.84
71,1561.84
78,1541.24
85,1541.01
92,1540.39
99,1541.23
106,1461.05
113,1436.78
120,1436.65
127,1436.65
134,1437.68
141,1437.5
148,1440.25
155,1440.25
162,1421.39
169,1440.44
176,1508.42
183,1504.03
190,1503.92
197,1527.04
204,1529.79
211,1530.0
218,1536.79
225,1535.39
232,1534.46
239,1529.86
246,1524.7
253,1524.7
260,1512.93
267,1531.66
274,1532.46
281,1533.39
288,1461.43
295,1433.0
302,1432.64
309,1432.64
316,1401.6
323,1421.94
330,1421.94
337,1421.94
344,1421.94
351,1403.16
358,1412.47
365,1414.71
372,1414.71
379,1414.71
386,1416.98
393,1416.98
400,1404.56
407,1404.61
414,1423.86
421,1423.86
428,1402.67
435,1407.18
442,1407.18
449,1409.62
456,1426.58
463,1446.53
470,1446.61
477,1446.45
484,1443.88
491,1443.88
498,1402.74
505,1424.86
512,1431.29
519,1458.44
526,1480.16
533,1455.85
540,1455.85
547,1450.77
554,1453.24
561,1453.24
568,1460.91
575,1460.91
582,1526.24
589,1526.24
596,1530.7
603,1530.7
610,1530.7
617,1530.7
624,1531.04
631,1533.03
638,1471.37
645,1471.37
652,1458.18
659,1450.69
666,1450.69
673,1450.69
680,1468.58
687,1468.58
694,1448.49
701,1448.49
708,1448.49
715,1448.49
722,1450.69
729,1448.24
736,1448.49
743,1450.93
750,1450.93
757,1494.2
764,1498.47
771,1498.47
778,1510.24
785,1510.42
792,1510.42
799,1508.01
806,1508.01
813,1508.01
820,1483.45
827,1492.23
834,1496.8
841,1528.98
848,1536.3
855,1528.91
862,1528.85
869,1528.67
876,1503.24
883,1503.24
890,1480.71
897,1480.71
904,1518.1
911,1477.58
918,1477.58
925,1477.58
932,1455.8
939,1434.1
946,1434.1
953,1400.22
960,1400.22
967,1385.55
974,1385.36
981,1385.25
988,1385.11
995,1401.99
1002,1415.85
1009,1415.85
1016,1418.41
1023,1418.31
1030,1413.51
1037,1413.43
1044,1422.23
1051,1450.71
1058,1450.88
1065,1451.07
1072,1461.22
1079,1512.94
1086,1512.79
1093,1512.75
1100,1518.12
1107,1510.15
1114,1510.3
1121,1510.3
1128,1510.3
1135,1485.45
1142,1483.02
1149,1483.02
1156,1497.46
1163,1497.41
1170,1497.63
1177,1497.63
1184,1472.32
1191,1472.32
1198,1476.41
1205,1476.41
1212,1489.93
1219,1489.93
1226,1504.49
1233,1504.43
1240,1517.36
1247,1487.42
1254,1487.42
1261,1487.31
1268,1487.21
1275,1491.89
1282,1491.89
1289,1487.66
1296,1507.53
1303,1507.63
1310,1505.05
1317,1505.22
1324,1512.94
1331,1490.19
1338,1490.19
1345,1409.48
1352,1424.35
1359,1424.35
1366,1422.14
1373,1451.39
1380,1451.39
1387,1451.35
1394,1475.92
1401,1453.96
1408,1456.08
1415,1456.08
1422,1456.08
1429,1500.75
1436,1500.75
1443,1482.85
1450,1482.85
1457,1490.35
1464,1487.82
1471,1487.82
1478,1445.76
1485,1448.0
1492,1448.04
1499,1428.91
1506,1428.91
1513,1433.59
1520,1433.64
1527,1464.14
1534,1433.68
1541,1446.2
1548,1429.12
1555,1427.2
1562,1420.26
1569,1424.83
1576,1418.07
1583,1418.07
1590,1418.07
1597,1418.07
1604,1441.76
1611,1441.67
1618,1443.68
1625,1424.41
1632,1476.44
1639,1495.62
1646,1495.62
1653,1495.7
1660,1495.7
1667,1474.39
1674,1493.4
1681,1493.4
1688,1510.25
1695,1490.14
1702,1510.3
1709,1518.37
1716,1518.43
1723,1513.0
1730,1513.0
1737,1512.84
1744,1485.92
1751,1481.19
1758,1455.18
1765,1455.14
1772,1476.66
1779,1476.66
1786,1503.52
1793,1509.01
1800,1508.88
1807,1535.39
1814,1514.15
1821,1486.02
1828,1488.38
1835,1483.59
1842,1514.1
1849,1536.31
1856,1536.13
1863,1535.99
1870,1535.32
1877,1534.62
1884,1534.62
1891,1529.98
1898,1535.61
1905,1536.44
1912,1535.33
1919,1510.26
1926,1506.12
1933,1485.21
1940,1468.68
1947,1468.73
1954,1462.01
1961,1462.3
1968,1460.05
1975,1460.05
1982,1501.06
1989,1480.5
1996,1482.9
2003,1482.9
2010,1485.28
2017,1485.28
2024,1430.7
2031,1448.34
2038,1452.0
2045,1429.32
2052,1429.42
2059,1465.42
2066,1429.42
2073,1436.59
2080,1436.59
2087,1436.75
2094,1462.75
2101,1471.38
2108,1501.02
2115,1501.02
2122,1538.68
2129,1534.96
2136,1534.11
2143,1534.11
2150,1514.36
2157,1514.36
2164,1514.45
2171,1511.61
2178,1511.44
2185,1463.96
2192,1496.87
2199,1471.74
2206,1471.71
2213,1451.74
2220,1471.9
2227,1471.94
2234,1471.74
2241,1403.0
2248,1403.0
2255,1403.03
2262,1405.04
2269,1429.04
2276,1409.14
2283,1412.12
2290,1412.2
2297,1429.21
2304,1429.21
2311,1400.78
2318,1400.69
2325,1398.51
2332,1399.1
2339,1419.95
2346,1415.87
2353,1415.87
2360,1468.88
2367,1469.03
2374,1499.56
2381,1472.07
2388,1463.42
2395,1449.42
2402,1483.85
2409,1441.21
2416,1441.06
2423,1405.07
2430,1414.04
2437,1414.18
2444,1416.61
2451,1441.15
2458,1441.21
2465,1440.99
2472,1471.1
2479,1470.98
2486,1470.98
2493,1441.98
2500,1442.08
2507,1454.06
2514,1454.06
2521,1450.51
2528,1450.27
2535,1450.27
2542,1450.66
2549,1450.66
2556,1450.94
2563,1396.92
2570,1396.92
2577,1425.75
2584,1425.75
2591,1442.64
2598,1442.59
2605,1442.5
2612,1420.31
2619,1406.42
2626,1430.11
2633,1430.37
2640,1424.77
2647,1442.74
2654,1422.17
2661,1395.38
2668,1399.47
2675,1401.9
2682,1422.83
2689,1453.34
2696,1458.26
2703,1458.02
2710,1460.55
2717,1432.31
2724,1461.01
2731,1520.3
2738,1520.3
2745,1534.86
2752,1466.06
2759,1437.36
2766,1407.89
2773,1409.92
2780,1409.97
2787,1414.87
2794,1414.93
2801,1437.19
2808,1436.71
2815,1455.85
2822,1455.85
2829,1429.0
2836,1420.04
2843,1420.21
2850,1420.21
2857,1418.16
2864,1438.9
2871,1438.9
2878,1438.9
2885,1438.9
2892,1400.53
2899,1424.74
2906,1409.14
2913,1409.2
2920,1442.15
2927,1441.32
2934,1438.67
2941,1438.36
2948,1466.1
2955,1433.12
2962,1433.12
2969,1434.94
2976,1406.17
2983,1406.17
2990,1398.67
2997,1424.19
3004,1426.33
3011,1446.67
3018,1428.57
3025,1428.68
3032,1409.72
3039,1436.81
3046,1419.75
3053,1419.75
3060,1407.6
3067,1405.36
3074,1445.65
3081,1445.65
3088,1443.24
3095,1431.73
3102,1431.92
3109,1429.69
3116,1416.61
3123,1435.47
3130,1429.92
3137,1429.74
3144,1429.81
3151,1405.33
3158,1432.59
3165,1424.09
3172,1417.92
3179,1420.56
3186,1413.77
3193,1433.65
3200,1433.46
3207,1433.26
3214,1433.39
3221,1409.98
3228,1401.82
3235,1399.9
3242,1404.25
3249,1404.25
3256,1405.22
3263,1388.34
3270,1387.55
3277,1389.43
3284,1420.18
3291,1418.4
3298,1423.87
3305,1423.28
3312,1423.82
3319,1441.72
3326,1441.5
3333,1441.56
3340,1443.77
3347,1409.39
3354,1430.83
3361,1412.21
3368,1412.21
3375,1427.65
3382,1427.23
3389,1427.23
3396,1458.79
3403,1458.79
3410,1458.79
3417,1456.35
3424,1416.61
3431,1433.5
3438,1433.23
3445,1433.23
3452,1430.73
3459,1455.28
3466,1455.28
3473,1418.82
3480,1418.82
3487,1418.82
3494,1418.82
3501,1419.08
3508,1419.08
3515,1419.08
3522,1409.13
3529,1408.93
3536,1408.93
3543,1408.93
3550,1408.8
3557,1408.8
3564,1409.0
3571,1384.46
3578,1398.82
3585,1398.76
3592,1398.76
3599,1400.88
3606,1400.94
3613,1446.52
3620,1446.52
3627,1479.46
3634,1479.64
3641,1479.64
3648,1508.62
3655,1532.26
3662,1474.02
3669,1460.79
3676,1424.98
3683,1425.04
3690,1412.61
3697,1412.39
3704,1389.73
3711,1402.21
3718,1402.09
3725,1401.92
3732,1401.92
3739,1401.82
3746,1402.73
3753,1402.73
3760,1404.91
3767,1442.74
3774,1442.83
3781,1437.72
3788,1437.9
3795,1436.38
3802,1430.84
3809,1432.53
3816,1432.53
3823,1460.84
3830,1443.1
3837,1444.6
3844,1444.47
3851,1444.51
3858,1407.46
3865,1396.92
3872,1426.66
3879,1461.69
3886,1507.85
3893,1510.73
3900,1510.73
3907,1532.3
3914,1445.11
3921,1435.82
3928,1397.56
3935,1397.52
3942,1397.52
3949,1403.98
3956,1401.87
3963,1401.83
3970,1399.71
3977,1400.0
3984,1400.0
3991,1400.0
3998,1455.92
4005,1453.12
4012,1458.89
4019,1458.89
4026,1476.69
4033,1443.85
4040,1411.74
4047,1428.31
4054,1455.81
4061,1455.81
4068,1520.37
4075,1517.54
4082,1537.49
4089,1487.9
4096,1487.9
4103,1534.2
4110,1534.2
4117,1532.72
4124,1531.94
4131,1531.94
4138,1531.11
4145,1531.77
4152,1531.77
4159,1496.51
4166,1496.51
4173,1496.51
4180,1427.16
4187,1422.88
4194,1438.56
4201,1430.6
4208,1432.49
4215,1432.33
4222,1397.01
4229,1412.72
4236,1410.43
4243,1424.47
4250,1442.19
4257,1438.99
4264,1430.43
4271,1430.6
4278,1451.87
4285,1420.52
4292,1425.43
4299,1425.43
4306,1433.05
4313,1433.05
4320,1433.3
4327,1426.91
4334,1455.5
4341,1405.22
4348,1405.22
4355,1405.1
4362,1409.64
4369,1409.72
4376,1398.28
4383,1398.15
4390,1458.26
4397,1457.91
4404,1431.57
4411,1436.49
4418,1476.4
4425,1453.78
4432,1446.11
4439,1445.99
4446,1413.96
4453,1414.08
4460,1436.35
4467,1404.79
4474,1428.99
4481,1429.22
4488,1429.32
4495,1429.32
4502,1438.16
4509,1440.49
4516,1460.36
4523,1429.14
4530,1472.26
4537,1472.26
4544,1449.6
4551,1449.33
4558,1467.66
4565,1478.64
4572,1478.64
4579,1478.64
4586,1478.64
4593,1511.02
4600,1488.01
4607,1483.21
4614,1485.7
4621,1498.4
4628,1498.4
4635,1498.43
4642,1503.32
4649,1532.25
4656,1532.25
4663,1505.7
4670,1523.8
4677,1486.75
4684,1486.75
4691,1450.17
4698,1450.17
4705,1485.36
4712,1485.36
4719,1491.2
4726,1488.84
4733,1430.95
4740,1435.63
4747,1438.01
4754,1450.22
4761,1450.22
4768,1450.22
4775,1465.82
4782,1465.82
4789,1468.79
4796,1433.88
4803,1455.85
4810,1431.7
4817,1479.59
4824,1479.59
4831,1479.59
4838,1456.01
4845,1456.01
4852,1477.48
4859,1477.43
4866,1477.43
4873,1477.43
4880,1477.32
4887,1458.46
4894,1417.94
4901,1471.88
4908,1471.59
4915,1471.59
4922,1499.64
4929,1499.64
4936,1499.64
4943,1520.61
