,Dist.Measurement
2920,1534.45
2927,1534.56
2934,1534.59
2941,1534.59
2948,1534.59
2955,1538.04
2962,1535.08
2969,1535.08
2976,1515.34
2983,1517.07
2990,1517.59
2997,1537.63
3004,1538.49
3011,1537.98
