,id,Measurement
5,in[0],0.00
6,in[1],-14.75
7,in[2],0.00
8,,
12,in[0],-17.25
13,in[1],-28.50
14,in[2],-17.50
15,,
19,in[0],-33.25
20,in[1],-28.50
21,in[2],-34.25
22,,
26,in[0],-50.25
27,in[1],-28.50
28,in[2],-34.25
29,,
33,in[0],-66.25
34,in[1],-28.50
35,in[2],-51.00
36,,
40,in[0],-65.50
41,in[1],-45.00
42,in[2],-51.00
43,,
47,in[0],-65.50
48,in[1],-45.00
49,in[2],-66.75
50,,
54,in[0],-65.75
55,in[1],-60.25
56,in[2],-65.50
57,,
61,in[0],-65.75
62,in[1],-60.25
63,in[2],-64.50
64,,
68,in[0],-65.75
69,in[1],-61.00
70,in[2],-64.50
71,,
75,in[0],-65.75
76,in[1],-61.00
77,in[2],-65.25
78,,
82,in[0],-65.75
83,in[1],-61.00
84,in[2],-65.25
85,,
89,in[0],-66.25
90,in[1],-60.75
91,in[2],-65.25
92,,
96,in[0],-66.25
97,in[1],-60.75
98,in[2],-66.25
99,,
103,in[0],-66.25
104,in[1],-60.75
105,in[2],-67.25
106,,
110,in[0],-67.25
111,in[1],-60.75
112,in[2],-67.25
113,,
117,in[0],-66.75
118,in[1],-60.75
119,in[2],-68.50
120,,
124,in[0],-66.75
125,in[1],-61.75
126,in[2],-68.50
127,,
131,in[0],-66.75
132,in[1],-61.75
133,in[2],-68.50
134,,
138,in[0],-66.75
139,in[1],-61.50
140,in[2],-68.50
141,,
145,in[0],-66.50
146,in[1],-61.50
147,in[2],-67.50
148,,
152,in[0],-66.50
153,in[1],-61.50
154,in[2],-68.00
155,,
159,in[0],-65.50
160,in[1],-59.00
161,in[2],-68.00
162,,
166,in[0],-66.00
167,in[1],-59.25
168,in[2],-68.00
169,,
173,in[0],-66.00
174,in[1],-57.75
175,in[2],-67.75
176,,
180,in[0],-66.00
181,in[1],-57.75
182,in[2],-67.25
183,,
187,in[0],-66.50
188,in[1],-60.50
189,in[2],-67.00
190,,
