,id,Measurement
5,in[0],-13.25
6,in[1],-13.25
7,in[2],-15.00
8,,
12,in[0],-26.25
13,in[1],-13.25
14,in[2],-15.00
15,,
19,in[0],-26.25
20,in[1],-26.50
21,in[2],-44.50
22,,
26,in[0],-39.25
27,in[1],-38.75
28,in[2],-44.50
29,,
33,in[0],-52.25
34,in[1],-51.25
35,in[2],-59.00
36,,
40,in[0],-51.50
41,in[1],-51.25
42,in[2],-61.75
43,,
47,in[0],-51.50
48,in[1],-50.50
49,in[2],-61.75
50,,
54,in[0],-51.75
55,in[1],-50.50
56,in[2],-61.75
57,,
61,in[0],-51.75
62,in[1],-50.50
63,in[2],-61.75
64,,
68,in[0],-52.50
69,in[1],-50.50
70,in[2],-65.00
71,,
75,in[0],-52.25
76,in[1],-50.00
77,in[2],-65.25
78,,
82,in[0],-52.25
83,in[1],-50.00
84,in[2],-65.25
85,,
89,in[0],-52.25
90,in[1],-49.75
91,in[2],-65.25
92,,
96,in[0],-52.50
97,in[1],-49.75
98,in[2],-62.00
99,,
103,in[0],-52.25
104,in[1],-49.75
105,in[2],-62.00
106,,
110,in[0],-52.25
111,in[1],-49.75
112,in[2],-65.00
113,,
117,in[0],-52.25
118,in[1],-49.00
119,in[2],-65.00
120,,
124,in[0],-51.75
125,in[1],-50.75
126,in[2],-65.25
127,,
131,in[0],-52.00
132,in[1],-50.75
133,in[2],-65.25
134,,
138,in[0],-52.00
139,in[1],-50.75
140,in[2],-65.50
141,,
145,in[0],-52.00
146,in[1],-52.00
147,in[2],-65.50
148,,
152,in[0],-51.75
153,in[1],-52.00
154,in[2],-65.50
155,,
159,in[0],-53.50
160,in[1],-52.00
161,in[2],-66.00
162,,
166,in[0],-53.50
167,in[1],-52.00
168,in[2],-62.50
169,,
173,in[0],-53.50
174,in[1],-52.75
175,in[2],-62.50
176,,
180,in[0],-53.50
181,in[1],-52.75
182,in[2],-62.50
183,,
187,in[0],-53.50
188,in[1],-54.25
189,in[2],-59.00
190,,
194,in[0],-54.00
195,in[1],-54.25
196,in[2],-61.25
197,,
201,in[0],-53.00
202,in[1],-53.50
203,in[2],-61.25
204,,
208,in[0],-53.00
209,in[1],-54.00
210,in[2],-63.75
211,,
215,in[0],-53.00
216,in[1],-54.00
217,in[2],-63.75
218,,
222,in[0],-52.75
223,in[1],-54.00
224,in[2],-63.75
225,,
229,in[0],-54.00
230,in[1],-55.00
231,in[2],-64.50
232,,
236,in[0],-53.75
237,in[1],-54.50
238,in[2],-64.50
239,,
243,in[0],-55.50
244,in[1],-56.00
245,in[2],-64.75
246,,
250,in[0],-54.50
251,in[1],-56.00
252,in[2],-64.75
253,,
257,in[0],-54.50
258,in[1],-56.00
259,in[2],-62.00
260,,
264,in[0],-56.00
265,in[1],-57.75
266,in[2],-62.00
267,,
271,in[0],-56.00
272,in[1],-57.75
273,in[2],-62.00
274,,
278,in[0],-56.00
279,in[1],-59.25
280,in[2],-62.25
281,,
285,in[0],-57.25
286,in[1],-59.25
287,in[2],-62.25
288,,
292,in[0],-57.25
293,in[1],-59.25
294,in[2],-64.50
295,,
299,in[0],-57.25
300,in[1],-59.25
301,in[2],-65.00
302,,
306,in[0],-57.75
307,in[1],-59.25
308,in[2],-61.25
309,,
313,in[0],-58.00
314,in[1],-58.50
315,in[2],-61.25
316,,
320,in[0],-58.00
321,in[1],-58.50
322,in[2],-61.25
323,,
327,in[0],-56.25
328,in[1],-56.75
329,in[2],-60.50
330,,
334,in[0],-56.25
335,in[1],-57.50
336,in[2],-60.50
337,,
341,in[0],-55.50
342,in[1],-57.50
343,in[2],-60.50
344,,
348,in[0],-55.75
349,in[1],-56.75
350,in[2],-60.50
351,,
355,in[0],-55.75
356,in[1],-56.75
357,in[2],-58.75
358,,
362,in[0],-56.75
363,in[1],-56.75
364,in[2],-58.75
365,,
369,in[0],-56.75
370,in[1],-56.75
371,in[2],-58.75
372,,
376,in[0],-56.25
377,in[1],-56.75
378,in[2],-58.75
379,,
383,in[0],-56.25
384,in[1],-56.00
385,in[2],-58.25
386,,
390,in[0],-56.00
391,in[1],-56.00
392,in[2],-58.25
393,,
397,in[0],-56.00
398,in[1],-55.50
399,in[2],-58.75
400,,
404,in[0],-56.00
405,in[1],-55.50
406,in[2],-58.75
407,,
411,in[0],-57.00
412,in[1],-55.50
413,in[2],-61.75
414,,
418,in[0],-57.00
419,in[1],-55.50
420,in[2],-61.50
421,,
425,in[0],-57.00
426,in[1],-56.75
427,in[2],-61.50
428,,
432,in[0],-57.00
433,in[1],-56.75
434,in[2],-62.00
435,,
439,in[0],-57.00
440,in[1],-56.75
441,in[2],-62.75
442,,
446,in[0],-57.00
447,in[1],-56.50
448,in[2],-62.75
449,,
453,in[0],-57.00
454,in[1],-56.50
455,in[2],-59.50
456,,
460,in[0],-57.00
461,in[1],-56.25
462,in[2],-59.50
463,,
467,in[0],-57.00
468,in[1],-56.50
469,in[2],-62.75
470,,
474,in[0],-56.75
475,in[1],-56.50
476,in[2],-62.75
477,,
481,in[0],-56.25
482,in[1],-56.75
483,in[2],-65.50
484,,
488,in[0],-56.25
489,in[1],-56.75
490,in[2],-66.25
491,,
495,in[0],-57.00
496,in[1],-57.50
497,in[2],-62.50
498,,
502,in[0],-57.00
503,in[1],-57.75
504,in[2],-62.50
505,,
509,in[0],-57.25
510,in[1],-57.75
511,in[2],-59.00
512,,
516,in[0],-57.50
517,in[1],-58.25
518,in[2],-61.75
519,,
523,in[0],-56.75
524,in[1],-59.25
525,in[2],-61.75
526,,
530,in[0],-56.00
531,in[1],-59.25
532,in[2],-61.75
533,,
537,in[0],-56.00
538,in[1],-59.75
539,in[2],-65.00
540,,
544,in[0],-56.25
545,in[1],-59.75
546,in[2],-65.00
547,,
551,in[0],-57.50
552,in[1],-59.25
553,in[2],-68.25
554,,
558,in[0],-57.75
559,in[1],-59.25
560,in[2],-65.50
561,,
565,in[0],-57.75
566,in[1],-59.25
567,in[2],-65.50
568,,
572,in[0],-59.00
573,in[1],-59.25
574,in[2],-62.50
575,,
579,in[0],-58.75
580,in[1],-59.25
581,in[2],-62.75
582,,
586,in[0],-58.75
587,in[1],-58.75
588,in[2],-62.75
589,,
593,in[0],-57.25
594,in[1],-57.50
595,in[2],-62.25
596,,
600,in[0],-56.75
601,in[1],-57.50
602,in[2],-61.50
603,,
607,in[0],-56.75
608,in[1],-57.50
609,in[2],-64.50
610,,
614,in[0],-56.75
615,in[1],-56.50
616,in[2],-64.25
617,,
621,in[0],-56.00
622,in[1],-56.75
623,in[2],-65.00
624,,
628,in[0],-56.25
629,in[1],-56.75
630,in[2],-65.00
631,,
635,in[0],-56.25
636,in[1],-57.25
637,in[2],-65.25
638,,
642,in[0],-56.25
643,in[1],-57.25
644,in[2],-62.50
645,,
649,in[0],-56.25
650,in[1],-57.50
651,in[2],-62.00
652,,
656,in[0],-56.25
657,in[1],-57.50
658,in[2],-61.75
659,,
663,in[0],-56.25
664,in[1],-57.50
665,in[2],-61.75
666,,
670,in[0],-55.25
671,in[1],-57.50
672,in[2],-61.75
673,,
677,in[0],-56.50
678,in[1],-57.25
679,in[2],-61.75
680,,
684,in[0],-56.50
685,in[1],-57.25
686,in[2],-61.75
687,,
691,in[0],-58.50
692,in[1],-57.25
693,in[2],-61.75
694,,
698,in[0],-58.25
699,in[1],-57.50
700,in[2],-62.50
701,,
705,in[0],-58.25
706,in[1],-57.25
707,in[2],-59.00
708,,
712,in[0],-57.00
713,in[1],-57.75
714,in[2],-59.00
715,,
719,in[0],-55.00
720,in[1],-57.75
721,in[2],-59.75
722,,
726,in[0],-56.00
727,in[1],-57.75
728,in[2],-62.25
729,,
733,in[0],-56.00
734,in[1],-57.75
735,in[2],-62.00
736,,
740,in[0],-57.50
741,in[1],-58.00
742,in[2],-65.25
743,,
747,in[0],-57.25
748,in[1],-59.00
749,in[2],-64.75
750,,
754,in[0],-57.25
755,in[1],-57.75
756,in[2],-61.50
757,,
761,in[0],-57.50
762,in[1],-59.25
763,in[2],-61.50
764,,
768,in[0],-57.50
769,in[1],-58.75
770,in[2],-61.50
771,,
775,in[0],-57.50
776,in[1],-58.50
777,in[2],-61.50
778,,
782,in[0],-57.50
783,in[1],-58.50
784,in[2],-61.00
785,,
789,in[0],-56.75
790,in[1],-59.00
791,in[2],-61.00
792,,
796,in[0],-56.25
797,in[1],-57.75
798,in[2],-61.25
799,,
803,in[0],-56.25
804,in[1],-57.75
805,in[2],-61.50
806,,
810,in[0],-56.25
811,in[1],-57.50
812,in[2],-65.00
813,,
817,in[0],-56.25
818,in[1],-57.00
819,in[2],-65.25
820,,
824,in[0],-56.25
825,in[1],-57.25
826,in[2],-65.25
827,,
831,in[0],-56.25
832,in[1],-57.25
833,in[2],-65.25
834,,
838,in[0],-56.00
839,in[1],-57.25
840,in[2],-65.25
841,,
845,in[0],-56.00
846,in[1],-57.75
847,in[2],-61.75
848,,
852,in[0],-56.00
853,in[1],-57.75
854,in[2],-61.75
855,,
859,in[0],-54.75
860,in[1],-57.50
861,in[2],-61.75
862,,
866,in[0],-55.50
867,in[1],-57.50
868,in[2],-61.75
869,,
873,in[0],-55.50
874,in[1],-57.50
