,id,Measurement
747,in[0],-75.50
748,in[1],-66.00
749,in[2],-75.25
750,,
754,in[0],-73.50
755,in[1],-66.00
756,in[2],-71.00
757,,
761,in[0],-74.00
762,in[1],-67.00
763,in[2],-71.00
764,,
768,in[0],-74.00
769,in[1],-67.00
770,in[2],-71.00
771,,
775,in[0],-75.25
776,in[1],-67.00
777,in[2],-71.00
778,,
782,in[0],-75.25
783,in[1],-66.25
784,in[2],-71.00
785,,
789,in[0],-75.25
790,in[1],-66.25
791,in[2],-71.00
792,,
796,in[0],-75.00
797,in[1],-66.25
798,in[2],-71.00
799,,
803,in[0],-75.00
804,in[1],-66.25
805,in[2],-71.00
806,,
810,in[0],-75.00
811,in[1],-66.25
812,in[2],-71.00
813,,
817,in[0],-72.75
818,in[1],-64.75
819,in[2],-71.25
820,,
824,in[0],-73.75
825,in[1],-64.75
826,in[2],-71.25
827,,
831,in[0],-74.25
832,in[1],-64.75
833,in[2],-71.25
834,,
838,in[0],-77.50
839,in[1],-65.75
840,in[2],-71.25
841,,
845,in[0],-80.25
846,in[1],-66.00
847,in[2],-71.25
848,,
852,in[0],-77.50
853,in[1],-66.00
854,in[2],-71.25
855,,
859,in[0],-77.50
860,in[1],-66.25
861,in[2],-71.25
862,,
866,in[0],-77.50
867,in[1],-67.00
868,in[2],-71.25
869,,
873,in[0],-75.00
874,in[1],-67.00
875,in[2],-71.25
876,,
880,in[0],-75.00
881,in[1],-67.00
882,in[2],-71.25
883,,
887,in[0],-72.50
888,in[1],-67.00
889,in[2],-71.25
890,,
894,in[0],-72.50
895,in[1],-67.00
896,in[2],-71.25
897,,
901,in[0],-76.50
902,in[1],-67.25
903,in[2],-71.25
904,,
908,in[0],-78.75
909,in[1],-67.25
910,in[2],-76.00
911,,
915,in[0],-78.75
916,in[1],-67.25
917,in[2],-76.00
918,,
922,in[0],-78.75
923,in[1],-67.25
924,in[2],-76.00
925,,
929,in[0],-76.75
930,in[1],-67.50
931,in[2],-76.00
932,,
936,in[0],-76.75
937,in[1],-67.25
938,in[2],-80.00
939,,
943,in[0],-76.75
944,in[1],-67.25
945,in[2],-80.00
946,,
950,in[0],-73.25
951,in[1],-67.00
952,in[2],-80.25
953,,
957,in[0],-73.25
958,in[1],-67.00
959,in[2],-80.25
960,,
964,in[0],-71.50
965,in[1],-67.00
966,in[2],-80.25
967,,
971,in[0],-71.50
972,in[1],-66.75
973,in[2],-80.50
974,,
978,in[0],-71.50
979,in[1],-67.25
980,in[2],-80.50
981,,
985,in[0],-71.50
986,in[1],-68.00
987,in[2],-80.50
988,,
992,in[0],-73.50
993,in[1],-68.00
994,in[2],-80.50
995,,
999,in[0],-75.00
1000,in[1],-68.00
1001,in[2],-80.50
1002,,
1006,in[0],-75.00
1007,in[1],-68.00
1008,in[2],-80.50
1009,,
1013,in[0],-75.25
1014,in[1],-67.25
1015,in[2],-80.50
1016,,
1020,in[0],-75.25
1021,in[1],-67.75
1022,in[2],-80.50
1023,,
1027,in[0],-74.75
1028,in[1],-67.75
1029,in[2],-80.50
1030,,
1034,in[0],-74.75
1035,in[1],-68.25
1036,in[2],-80.50
1037,,
1041,in[0],-73.25
1042,in[1],-67.50
1043,in[2],-76.00
1044,,
1048,in[0],-76.25
1049,in[1],-67.25
1050,in[2],-76.00
1051,,
1055,in[0],-76.25
1056,in[1],-66.50
1057,in[2],-76.00
1058,,
1062,in[0],-76.25
1063,in[1],-65.75
1064,in[2],-76.00
1065,,
1069,in[0],-77.25
1070,in[1],-66.75
1071,in[2],-76.00
1072,,
1076,in[0],-77.25
1077,in[1],-67.00
1078,in[2],-72.00
1079,,
1083,in[0],-77.25
1084,in[1],-67.75
1085,in[2],-72.00
1086,,
1090,in[0],-77.25
1091,in[1],-68.00
1092,in[2],-72.00
1093,,
1097,in[0],-77.75
1098,in[1],-68.00
1099,in[2],-72.00
1100,,
1104,in[0],-77.00
1105,in[1],-67.75
1106,in[2],-72.00
1107,,
1111,in[0],-77.00
1112,in[1],-67.00
1113,in[2],-72.00
1114,,
1118,in[0],-77.00
1119,in[1],-67.00
1120,in[2],-72.00
1121,,
1125,in[0],-77.00
1126,in[1],-67.00
1127,in[2],-72.00
1128,,
1132,in[0],-74.50
1133,in[1],-67.00
1134,in[2],-72.00
1135,,
1139,in[0],-74.25
1140,in[1],-67.50
1141,in[2],-72.00
1142,,
1146,in[0],-74.25
1147,in[1],-67.50
1148,in[2],-72.00
1149,,
1153,in[0],-75.75
1154,in[1],-67.25
1155,in[2],-72.00
1156,,
1160,in[0],-75.75
1161,in[1],-67.50
1162,in[2],-72.00
1163,,
1167,in[0],-75.75
1168,in[1],-66.50
1169,in[2],-72.00
1170,,
1174,in[0],-75.75
1175,in[1],-66.50
1176,in[2],-72.00
1177,,
1181,in[0],-73.00
1182,in[1],-65.50
1183,in[2],-72.00
1184,,
1188,in[0],-73.00
1189,in[1],-65.50
1190,in[2],-72.00
1191,,
1195,in[0],-73.00
1196,in[1],-66.00
1197,in[2],-71.75
1198,,
1202,in[0],-73.00
1203,in[1],-66.00
1204,in[2],-71.75
1205,,
1209,in[0],-74.50
1210,in[1],-66.00
1211,in[2],-71.75
1212,,
1216,in[0],-74.50
1217,in[1],-66.00
1218,in[2],-71.75
1219,,
1223,in[0],-76.00
1224,in[1],-66.00
1225,in[2],-71.75
1226,,
1230,in[0],-76.00
1231,in[1],-66.25
1232,in[2],-71.75
1233,,
1237,in[0],-77.25
1238,in[1],-66.25
1239,in[2],-71.75
1240,,
1244,in[0],-74.25
1245,in[1],-66.75
1246,in[2],-71.75
1247,,
1251,in[0],-74.25
1252,in[1],-66.75
1253,in[2],-71.75
1254,,
1258,in[0],-74.25
1259,in[1],-67.25
1260,in[2],-71.75
1261,,
1265,in[0],-74.25
1266,in[1],-67.75
1267,in[2],-71.75
1268,,
1272,in[0],-74.75
1273,in[1],-67.75
1274,in[2],-71.75
1275,,
1279,in[0],-74.75
1280,in[1],-67.75
1281,in[2],-71.75
1282,,
1286,in[0],-74.75
1287,in[1],-67.75
1288,in[2],-72.00
1289,,
1293,in[0],-76.75
1294,in[1],-67.75
1295,in[2],-72.00
1296,,
1300,in[0],-76.75
1301,in[1],-67.25
1302,in[2],-72.00
1303,,
1307,in[0],-76.50
1308,in[1],-67.25
1309,in[2],-72.00
1310,,
1314,in[0],-76.50
1315,in[1],-66.50
1316,in[2],-72.00
1317,,
1321,in[0],-77.25
1322,in[1],-67.00
1323,in[2],-72.00
1324,,
1328,in[0],-75.00
1329,in[1],-67.00
1330,in[2],-72.00
1331,,
1335,in[0],-75.00
1336,in[1],-67.00
1337,in[2],-72.00
1338,,
1342,in[0],-71.75
1343,in[1],-68.00
1344,in[2],-76.00
1345,,
1349,in[0],-73.75
1350,in[1],-68.00
1351,in[2],-76.25
1352,,
1356,in[0],-73.75
1357,in[1],-68.00
1358,in[2],-76.25
1359,,
1363,in[0],-73.75
1364,in[1],-68.50
1365,in[2],-76.50
1366,,
1370,in[0],-76.75
1371,in[1],-67.75
1372,in[2],-76.50
1373,,
1377,in[0],-76.75
1378,in[1],-67.75
1379,in[2],-76.50
1380,,
1384,in[0],-76.75
1385,in[1],-68.00
1386,in[2],-76.50
1387,,
1391,in[0],-79.00
1392,in[1],-68.00
1393,in[2],-76.50
1394,,
1398,in[0],-77.00
1399,in[1],-68.00
1400,in[2],-76.50
1401,,
1405,in[0],-77.00
1406,in[1],-68.00
1407,in[2],-76.25
1408,,
1412,in[0],-77.00
1413,in[1],-68.00
1414,in[2],-76.25
1415,,
1419,in[0],-77.00
1420,in[1],-68.00
1421,in[2],-76.25
1422,,
1426,in[0],-77.25
1427,in[1],-68.00
1428,in[2],-72.75
1429,,
1433,in[0],-77.25
1434,in[1],-68.00
1435,in[2],-72.75
1436,,
1440,in[0],-75.50
1441,in[1],-68.00
1442,in[2],-72.75
1443,,
1447,in[0],-75.50
1448,in[1],-68.00
1449,in[2],-72.75
1450,,
1454,in[0],-76.25
1455,in[1],-68.00
1456,in[2],-72.75
1457,,
1461,in[0],-76.00
1462,in[1],-68.00
1463,in[2],-72.75
1464,,
1468,in[0],-76.00
1469,in[1],-68.00
1470,in[2],-72.75
1471,,
1475,in[0],-76.00
1476,in[1],-68.25
1477,in[2],-76.25
1478,,
1482,in[0],-76.00
1483,in[1],-68.25
1484,in[2],-76.00
1485,,
1489,in[0],-76.00
1490,in[1],-68.00
1491,in[2],-76.00
1492,,
1496,in[0],-74.25
1497,in[1],-68.00
1498,in[2],-76.25
1499,,
1503,in[0],-74.25
1504,in[1],-68.00
1505,in[2],-76.25
1506,,
1510,in[0],-74.75
1511,in[1],-68.00
1512,in[2],-76.25
1513,,
1517,in[0],-76.75
1518,in[1],-67.75
1519,in[2],-80.25
1520,,
1524,in[0],-79.50
1525,in[1],-67.00
1526,in[2],-80.25
1527,,
1531,in[0],-76.75
1532,in[1],-67.50
1533,in[2],-80.25
1534,,
1538,in[0],-76.25
1539,in[1],-68.00
1540,in[2],-76.50
1541,,
1545,in[0],-74.50
1546,in[1],-68.00
1547,in[2],-76.50
1548,,
1552,in[0],-74.50
1553,in[1],-67.50
1554,in[2],-76.75
1555,,
1559,in[0],-73.75
1560,in[1],-67.75
1561,in[2],-76.75
1562,,
1566,in[0],-74.25
1567,in[1],-67.75
1568,in[2],-76.75
1569,,
1573,in[0],-73.50
1574,in[1],-67.50
1575,in[2],-76.75
1576,,
1580,in[0],-73.50
1581,in[1],-67.50
1582,in[2],-76.75
1583,,
1587,in[0],-73.50
1588,in[1],-67.50
1589,in[2],-76.75
1590,,
1594,in[0],-73.50
1595,in[1],-67.50
1596,in[2],-76.75
1597,,
1601,in[0],-76.00
1602,in[1],-67.50
1603,in[2],-76.75
1604,,
1608,in[0],-76.00
1609,in[1],-68.00
1610,in[2],-76.75
1611,,
1615,in[0],-76.00
1616,in[1],-68.00
1617,in[2],-76.50
1618,,
1622,in[0],-74.00
1623,in[1],-68.50
1624,in[2],-76.50
1625,,
1629,in[0],-74.00
1630,in[1],-68.50
1631,in[2],-72.25
1632,,
1636,in[0],-76.00
1637,in[1],-68.50
1638,in[2],-72.25
1639,,
1643,in[0],-76.00
1644,in[1],-68.50
1645,in[2],-72.25
1646,,
1650,in[0],-76.00
1651,in[1],-68.00
1652,in[2],-72.25
1653,,
1657,in[0],-76.00
1658,in[1],-68.00
1659,in[2],-72.25
1660,,
1664,in[0],-73.75
1665,in[1],-67.25
1666,in[2],-72.25
1667,,
1671,in[0],-75.75
1672,in[1],-67.00
1673,in[2],-72.25
1674,,
1678,in[0],-75.75
1679,in[1],-67.00
1680,in[2],-72.25
1681,,
1685,in[0],-77.00
1686,in[1],-67.25
1687,in[2],-72.00
1688,,
1692,in[0],-75.00
1693,in[1],-67.25
1694,in[2],-72.00
1695,,
1699,in[0],-77.00
1700,in[1],-67.00
1701,in[2],-72.00
1702,,
1706,in[0],-77.75
1707,in[1],-66.75
1708,in[2],-72.00
1709,,
1713,in[0],-77.75
1714,in[1],-66.50
1715,in[2],-72.00
1716,,
1720,in[0],-77.25
1721,in[1],-66.75
1722,in[2],-72.00
1723,,
1727,in[0],-77.25
1728,in[1],-66.75
1729,in[2],-72.00
1730,,
1734,in[0],-77.25
1735,in[1],-67.50
1736,in[2],-72.00
1737,,
1741,in[0],-75.00
1742,in[1],-67.75
1743,in[2],-72.25
1744,,
1748,in[0],-74.50
1749,in[1],-67.75
1750,in[2],-72.25
1751,,
1755,in[0],-71.50
1756,in[1],-67.75
1757,in[2],-72.25
1758,,
1762,in[0],-71.50
1763,in[1],-68.00
1764,in[2],-72.25
1765,,
1769,in[0],-74.00
1770,in[1],-67.25
1771,in[2],-72.25
1772,,
1776,in[0],-74.00
1777,in[1],-67.25
1778,in[2],-72.25
1779,,
1783,in[0],-76.75
1784,in[1],-67.25
1785,in[2],-72.25
1786,,
1790,in[0],-77.25
1791,in[1],-66.25
1792,in[2],-72.25
1793,,
1797,in[0],-77.25
1798,in[1],-66.75
1799,in[2],-72.25
1800,,
1804,in[0],-80.25
1805,in[1],-66.75
1806,in[2],-72.25
1807,,
1811,in[0],-77.75
1812,in[1],-67.25
1813,in[2],-72.25
1814,,
1818,in[0],-75.00
1819,in[1],-67.25
1820,in[2],-72.25
1821,,
1825,in[0],-75.25
1826,in[1],-67.50
1827,in[2],-72.25
1828,,
1832,in[0],-74.75
1833,in[1],-67.50
1834,in[2],-72.25
1835,,
1839,in[0],-77.75
1840,in[1],-67.50
1841,in[2],-72.25
1842,,
1846,in[0],-81.00
1847,in[1],-66.75
1848,in[2],-72.00
1849,,
1853,in[0],-81.00
1854,in[1],-67.00
1855,in[2],-72.00
1856,,
1860,in[0],-81.00
1861,in[1],-67.00
1862,in[2],-72.50
1863,,
1867,in[0],-81.00
1868,in[1],-68.00
1869,in[2],-72.50
1870,,
1874,in[0],-80.25
1875,in[1],-67.75
1876,in[2],-72.50
1877,,
1881,in[0],-80.25
1882,in[1],-67.75
1883,in[2],-72.50
1884,,
1888,in[0],-79.50
1889,in[1],-66.75
1890,in[2],-72.50
1891,,
1895,in[0],-80.50
1896,in[1],-66.75
1897,in[2],-72.50
1898,,
1902,in[0],-80.50
1903,in[1],-65.75
1904,in[2],-72.50
1905,,
1909,in[0],-80.25
1910,in[1],-66.75
1911,in[2],-72.50
1912,,
1916,in[0],-77.75
1917,in[1],-66.75
1918,in[2],-72.50
1919,,
1923,in[0],-77.75
1924,in[1],-68.00
1925,in[2],-72.75
1926,,
1930,in[0],-75.75
1931,in[1],-68.75
1932,in[2],-72.75
1933,,
1937,in[0],-74.00
1938,in[1],-67.75
1939,in[2],-72.75
1940,,
1944,in[0],-74.00
1945,in[1],-67.50
1946,in[2],-72.75
1947,,
1951,in[0],-73.25
1952,in[1],-67.50
1953,in[2],-72.75
1954,,
1958,in[0],-73.25
1959,in[1],-66.25
1960,in[2],-72.75
1961,,
1965,in[0],-73.00
1966,in[1],-66.50
1967,in[2],-72.75
1968,,
1972,in[0],-73.00
1973,in[1],-66.50
1974,in[2],-72.75
1975,,
1979,in[0],-77.25
1980,in[1],-66.50
1981,in[2],-72.75
1982,,
1986,in[0],-75.25
1987,in[1],-67.50
1988,in[2],-72.75
1989,,
1993,in[0],-75.50
1994,in[1],-67.75
1995,in[2],-72.75
1996,,
2000,in[0],-75.50
2001,in[1],-67.75
2002,in[2],-72.75
2003,,
2007,in[0],-75.75
2008,in[1],-68.25
2009,in[2],-72.75
2010,,
2014,in[0],-75.75
2015,in[1],-68.25
2016,in[2],-72.75
2017,,
2021,in[0],-75.25
2022,in[1],-67.50
2023,in[2],-77.25
2024,,
2028,in[0],-77.00
2029,in[1],-67.75
2030,in[2],-77.25
2031,,
2035,in[0],-77.00
2036,in[1],-67.75
2037,in[2],-76.75
2038,,
2042,in[0],-74.75
2043,in[1],-69.00
2044,in[2],-76.75
2045,,
2049,in[0],-74.75
2050,in[1],-68.25
2051,in[2],-76.75
2052,,
2056,in[0],-78.25
2057,in[1],-68.25
2058,in[2],-76.75
2059,,
2063,in[0],-74.75
2064,in[1],-68.25
2065,in[2],-76.75
2066,,
2070,in[0],-75.50
2071,in[1],-68.75
2072,in[2],-76.75
2073,,
2077,in[0],-75.50
2078,in[1],-68.75
2079,in[2],-76.75
2080,,
2084,in[0],-75.50
2085,in[1],-67.75
2086,in[2],-76.75
2087,,
2091,in[0],-78.00
2092,in[1],-67.75
2093,in[2],-76.75
2094,,
2098,in[0],-78.75
2099,in[1],-66.50
2100,in[2],-76.75
2101,,
2105,in[0],-81.25
2106,in[1],-67.00
2107,in[2],-76.75
2108,,
2112,in[0],-81.25
2113,in[1],-67.00
2114,in[2],-76.75
2115,,
2119,in[0],-83.25
2120,in[1],-67.00
2121,in[2],-72.50
2122,,
2126,in[0],-80.25
2127,in[1],-67.25
2128,in[2],-72.50
2129,,
2133,in[0],-80.25
2134,in[1],-68.50
2135,in[2],-72.75
2136,,
2140,in[0],-80.25
2141,in[1],-68.50
2142,in[2],-72.75
2143,,
2147,in[0],-78.50
2148,in[1],-68.25
2149,in[2],-72.75
2150,,
2154,in[0],-78.50
2155,in[1],-68.25
2156,in[2],-72.75
2157,,
2161,in[0],-78.50
2162,in[1],-67.75
2163,in[2],-72.75
2164,,
2168,in[0],-78.25
2169,in[1],-68.00
2170,in[2],-72.75
2171,,
2175,in[0],-78.25
2176,in[1],-69.25
2177,in[2],-72.75
2178,,
2182,in[0],-73.50
2183,in[1],-69.25
2184,in[2],-72.75
2185,,
2189,in[0],-77.25
2190,in[1],-68.75
2191,in[2],-73.00
2192,,
2196,in[0],-74.75
2197,in[1],-68.75
2198,in[2],-73.00
2199,,
2203,in[0],-74.75
2204,in[1],-69.00
2205,in[2],-73.00
2206,,
2210,in[0],-72.50
2211,in[1],-67.75
2212,in[2],-73.00
2213,,
2217,in[0],-74.75
2218,in[1],-67.75
2219,in[2],-73.00
2220,,
2224,in[0],-74.75
2225,in[1],-67.50
2226,in[2],-73.00
2227,,
2231,in[0],-74.75
2232,in[1],-68.75
2233,in[2],-73.00
2234,,
2238,in[0],-71.50
2239,in[1],-68.75
2240,in[2],-76.50
2241,,
2245,in[0],-71.50
2246,in[1],-68.75
2247,in[2],-76.50
2248,,
2252,in[0],-71.50
2253,in[1],-68.50
2254,in[2],-76.50
2255,,
2259,in[0],-71.75
2260,in[1],-68.50
2261,in[2],-76.50
2262,,
2266,in[0],-74.50
2267,in[1],-68.50
2268,in[2],-76.50
2269,,
2273,in[0],-72.25
2274,in[1],-68.50
2275,in[2],-76.50
2276,,
2280,in[0],-74.50
2281,in[1],-68.50
2282,in[2],-79.75
2283,,
2287,in[0],-74.50
2288,in[1],-68.00
2289,in[2],-79.75
2290,,
2294,in[0],-76.25
2295,in[1],-68.50
2296,in[2],-79.75
2297,,
2301,in[0],-76.25
2302,in[1],-68.50
2303,in[2],-79.75
2304,,
2308,in[0],-73.25
2309,in[1],-68.50
2310,in[2],-79.75
2311,,
2315,in[0],-73.25
2316,in[1],-69.25
2317,in[2],-79.75
2318,,
2322,in[0],-73.00
2323,in[1],-69.25
2324,in[2],-79.75
2325,,
2329,in[0],-73.00
2330,in[1],-69.25
2331,in[2],-79.50
2332,,
2336,in[0],-73.00
2337,in[1],-68.00
2338,in[2],-76.00
2339,,
2343,in[0],-74.75
2344,in[1],-68.00
2345,in[2],-79.25
2346,,
2350,in[0],-74.75
2351,in[1],-68.00
2352,in[2],-79.25
2353,,
2357,in[0],-79.75
2358,in[1],-69.00
2359,in[2],-79.25
2360,,
2364,in[0],-79.75
2365,in[1],-68.00
2366,in[2],-79.25
2367,,
2371,in[0],-82.00
2372,in[1],-68.00
2373,in[2],-78.50
2374,,
2378,in[0],-79.75
2379,in[1],-67.00
2380,in[2],-78.50
2381,,
2385,in[0],-79.00
2386,in[1],-66.75
2387,in[2],-78.50
2388,,
2392,in[0],-77.75
2393,in[1],-67.00
2394,in[2],-78.50
2395,,
2399,in[0],-80.75
2400,in[1],-68.25
2401,in[2],-78.50
2402,,
2406,in[0],-77.00
2407,in[1],-68.00
2408,in[2],-78.50
2409,,
2413,in[0],-77.00
2414,in[1],-69.00
2415,in[2],-78.50
2416,,
2420,in[0],-73.25
2421,in[1],-67.75
2422,in[2],-78.50
2423,,
2427,in[0],-74.25
2428,in[1],-68.00
2429,in[2],-78.50
2430,,
2434,in[0],-74.25
2435,in[1],-67.25
2436,in[2],-78.50
2437,,
2441,in[0],-74.50
2442,in[1],-66.75
2443,in[2],-78.50
2444,,
2448,in[0],-74.50
2449,in[1],-66.75
2450,in[2],-75.25
2451,,
2455,in[0],-74.50
2456,in[1],-66.50
2457,in[2],-75.25
2458,,
2462,in[0],-74.50
2463,in[1],-67.50
2464,in[2],-75.25
2465,,
2469,in[0],-77.50
2470,in[1],-67.75
2471,in[2],-75.25
2472,,
2476,in[0],-77.50
2477,in[1],-68.50
2478,in[2],-75.25
2479,,
2483,in[0],-77.50
2484,in[1],-68.50
