,id,time (delta),RSSI (dBm)
14536,7171,74:,-66
14537,0,30:,-78
14538,7171,74:,-66
14545,7171,75:,-66
14546,0,0:,-77
14547,7171,75:,-66
14554,7171,75:,-66
14555,0,0:,-77
14556,7171,75:,-66
14563,7171,75:,-66
14564,0,0:,-77
14565,7171,75:,-66
14572,7171,75:,-66
14573,0,0:,-77
14574,7171,75:,-66
14581,7171,75:,-66
14582,0,0:,-77
14583,7171,75:,-66
14590,7171,75:,-66
14591,0,0:,-77
14592,7171,75:,-66
14599,7171,75:,-66
14600,0,0:,-77
14601,7171,75:,-66
14608,7171,75:,-66
14609,0,0:,-77
14610,7171,75:,-66
14617,7171,75:,-66
14618,0,0:,-77
14619,7171,75:,-66
14626,7171,75:,-66
14627,0,0:,-77
14628,7171,75:,-66
14635,7171,76:,-66
14636,0,1:,-77
14637,7171,76:,-66
14644,7171,76:,-66
14645,0,1:,-77
14646,7171,76:,-66
14653,7171,76:,-66
14654,0,1:,-77
14655,7171,76:,-66
14662,7171,76:,-66
14663,0,1:,-77
14664,7171,76:,-66
14671,7171,76:,-66
14672,0,1:,-77
14673,7171,76:,-66
14680,7171,76:,-66
14681,0,1:,-77
14682,7171,76:,-66
14689,7171,76:,-66
14690,0,1:,-77
14691,7171,76:,-66
14698,7171,76:,-66
14699,0,1:,-77
14700,7171,76:,-66
14707,7171,76:,-66
14708,0,1:,-77
14709,7171,76:,-66
14716,7171,76:,-66
14717,0,1:,-77
14718,7171,76:,-66
14725,7171,77:,-66
14726,0,2:,-77
14727,7171,77:,-66
14734,7171,77:,-66
14735,0,2:,-77
14736,7171,77:,-66
14743,7171,77:,-66
14744,0,2:,-77
14745,7171,77:,-66
14752,7171,77:,-66
14753,0,2:,-77
14754,7171,77:,-66
14761,7171,77:,-66
14762,0,2:,-77
14763,7171,77:,-66
14770,7171,77:,-66
14771,0,2:,-77
14772,7171,77:,-66
14779,7171,77:,-66
14780,0,2:,-77
14781,7171,77:,-66
14788,7171,77:,-66
14789,0,2:,-77
14790,7171,77:,-66
14797,7171,77:,-66
14798,0,2:,-77
14799,7171,77:,-66
